container_sk,container_bk,container_type,capacity_l,zone_bk,latitude,longitude,status,date_debut,date_fin,version,is_current
1,CONT_00001,Metal,123,NANTES_ZONE_022,47.28807543986733,-1.551803041850653,ACTIF,2022-01-01,,1,True
2,CONT_00002,Verre,2000,PARIS_ZONE_094,48.80481774821077,2.412007428785487,ACTIF,2022-01-01,,1,True
3,CONT_00003,Verre,770,MONTPELLIER_ZONE_013,43.57567935636486,3.814248165462288,ACTIF,2022-01-01,,1,True
4,CONT_00004,Ordures,770,NANTES_ZONE_056,47.25516953209549,-1.5760057716261435,ACTIF,2022-01-01,,1,True
5,CONT_00005,Plastique,660,PARIS_ZONE_026,48.800883690574295,2.37686632674031,ACTIF,2022-01-01,,1,True
6,CONT_00006,Plastique,660,NANTES_ZONE_018,47.201146332432494,-1.6008366416283537,ACTIF,2022-01-01,,1,True
7,CONT_00007,Verre,770,LYON_ZONE_086,45.773205803255934,4.763559525458365,ACTIF,2022-01-01,,1,True
8,CONT_00008,Plastique,770,LYON_ZONE_091,45.84157079825846,4.76401524374889,ACTIF,2022-01-01,,1,True
9,CONT_00009,Plastique,660,PARIS_ZONE_022,48.88347919831295,2.2951061333433,ACTIF,2022-01-01,,1,True
10,CONT_00010,Verre,770,STRASBOURG_ZONE_050,48.57035012206599,7.725412246295067,ACTIF,2022-01-01,,1,True
11,CONT_00011,Ordures,770,NICE_ZONE_039,43.73828082504932,7.230009609428219,ACTIF,2022-01-01,,1,True
12,CONT_00012,Verre,1000,PARIS_ZONE_046,48.923949639957485,2.292119142612734,ACTIF,2022-01-01,,1,True
13,CONT_00013,Plastique,660,TOULOUSE_ZONE_001,43.636920712838105,1.431901570302459,ACTIF,2022-01-01,,1,True
14,CONT_00014,Verre,2000,STRASBOURG_ZONE_074,48.62076144855818,7.716903316192516,ACTIF,2022-01-01,,1,True
15,CONT_00015,Ordures,770,PARIS_ZONE_017,48.84499713862118,2.313913169425037,ACTIF,2022-01-01,,1,True
16,CONT_00016,Verre,2000,TOULOUSE_ZONE_049,43.59966116055246,1.490040489611487,ACTIF,2022-01-01,,1,True
17,CONT_00017,Plastique,1000,MARSEILLE_ZONE_075,43.3689928196888,5.420041028407891,ACTIF,2022-01-01,,1,True
18,CONT_00018,Plastique,770,TOULOUSE_ZONE_009,43.650252237082725,1.4903759536965904,ACTIF,2022-01-01,,1,True
19,CONT_00019,Verre,660,PARIS_ZONE_011,48.86660577311874,2.414968198134708,ACTIF,2022-01-01,,1,True
20,CONT_00020,Verre,1000,MARSEILLE_ZONE_042,43.35668356104392,5.342490698001176,ACTIF,2022-01-01,,1,True
21,CONT_00021,Verre,2000,BORDEAUX_ZONE_058,44.85118606863512,-0.5666235146127981,ACTIF,2022-01-01,,1,True
